Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
MobileNetV2,CONV1,3072,44737,4671.96,26.9179,5.76157e+06,1.92046e+10,121066,20,20.1667,20,1,20,9864,6,1,1,150528,96,2.57755e+11,1204224,3754.91,63.5904,34.0308,117213,1204224, 37632, 37632, 150528, 32, 1204224, 80, 80, 96, 15052.8, 1204224, 1204224, 1605632, 903168, 1, 1, 1, 1, 2, 2, 2, 233, 233, 233, 28, 32
MobileNetV2,Bottleneck1_1_1,3072,62744,6824.26,204.722,2.99991e+07,1.92046e+10,121410,6,6.28571,6,1,6,109568,6,1,1,401408,1024,1.88226e+12,12845056,3754.91,63.5904,378.01,117213,12845056, 401408, 401408, 401408, 32, 12845056, 1024, 1024, 1024, 12544, 12845056, 12845056, 401408, 351232, 1, 10, 10, 10, 8, 8, 8, 4481, 4481, 4481, 256, 32
MobileNetV2,Bottleneck1_1_2,3072,9949,25241.6,350.266,1.38765e+07,1.92046e+10,123179,56,43.25,56,1,56,474784,54,1,1,401408,288,1.38058e+11,3484800,3754.91,572.314,1638,117213,3484800, 433200, 433200, 401408, 8.04432, 3484800, 432, 432, 288, 8066.67, 3484800, 3484800, 387200, 387200, 1, 32, 45, 35, 31, 31, 31, 2476, 2476, 2476, 352, 8.91454
MobileNetV2,Bottleneck1_1_3,3072,58405,9861.08,109.965,1.11515e+07,1.92046e+10,121164,7,6.875,7,1,7,38144,6,1,1,401408,512,6.51301e+11,6422528,3754.91,63.5904,131.597,117213,6422528, 401408, 401408, 401408, 16, 6422528, 2304, 2304, 512, 2787.56, 6422528, 6422528, 200704, 200704, 1, 4, 5, 4, 2, 2, 2, 1825, 1825, 1825, 112, 15.8384
MobileNetV2,Bottleneck1_1_Residual,3072,6338,12554.3,31.6668,2.52238e+06,1.92046e+10,121075,31,31.6562,31,1,31,12552,6,1,1,200704,16,1.59869e+10,200704,3754.91,63.5904,43.3044,117213,200704, 176008, 176008, 200704, 1.14031, 200704, 16, 16, 16, 12544, 200704, 200704, 200704, 200704, 1, 1, 2, 1, 1, 1, 1, 99, 99, 99, 32, 1.14286
MobileNetV2,Bottleneck2_1_1,3072,134466,7263.96,143.29,1.97261e+07,1.92049e+10,130737,8,8,8,1,8,2812928,6,1,1,200704,1536,2.65249e+12,19267584,3754.91,63.5904,9704.6,117213,19267584, 200704, 200704, 200704, 96, 19267584, 1536, 1536, 1536, 12544, 19267584, 19267584, 1204224, 1204224, 1, 65, 65, 65, 384, 384, 384, 134401, 134401, 134401, 179.2, 95.2709
MobileNetV2,Bottleneck2_1_2,3072,20716,45207.8,459.151,1.01565e+07,1.92047e+10,125814,73,68,73,1,73,1238496,54,1,1,1204224,864,2.10401e+11,9511776,3754.91,572.314,4272.81,117213,9511776, 1239600, 1239600, 1204224, 7.67326, 9511776, 864, 864, 864, 11009, 9511776, 9511776, 1161600, 1140576, 1, 96, 106, 99, 91, 92, 91, 4537, 4537, 4537, 160, 7.82621
MobileNetV2,Bottleneck2_1_3,3072,43031,21406.8,671.641,3.13751e+07,1.92046e+10,122351,19,19,19,1,19,382464,6,1,1,301056,9216,1.3501e+12,28901376,3754.91,63.5904,1319.5,117213,28901376, 301056, 301056, 301056, 96, 28901376, 15360, 15360, 9216, 1881.6, 28901376, 28901376, 301056, 827904, 1, 16, 17, 16, 44, 44, 44, 7169, 7169, 7169, 768, 90.4615
MobileNetV2,Bottleneck2_2_1,3072,43031,51018.3,671.641,1.31647e+07,1.92046e+10,122351,19,19,19,1,19,382464,6,1,1,301056,9216,5.6649e+11,28901376,3754.91,63.5904,1319.5,117213,28901376, 301056, 301056, 301056, 96, 28901376, 15360, 15360, 9216, 1881.6, 28901376, 28901376, 301056, 827904, 1, 16, 17, 16, 44, 44, 44, 7169, 7169, 7169, 768, 90.4615
MobileNetV2,Bottleneck2_2_2,3072,52526,48329.6,47.9653,992462,1.92046e+10,122928,6,5.33333,6,1,6,402240,54,1,1,301056,864,5.213e+10,2519424,3754.91,572.314,1387.73,117213,2519424, 243712, 243712, 301056, 10.3377, 2519424, 864, 864, 864, 2916, 2519424, 2519424, 279936, 279936, 1, 22, 35, 26, 30, 30, 30, 17497, 17497, 17497, 48, 12.2808
